ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,L7805CD2T,U5,TO-263-2_L10.0-W9.2-P2.54-LS14.2-BL,1,,,,,
2,IRLR8726T,U7,TO-252-3_L6.5-W5.8-P4.60-LS9.9-BR,1,,,,,
3,HDR-TH_4P-P2.54-V-F,PROG1,HDR-TH_4P-P2.54-V-F,1,,,,,
4,V106K0805X5R250NHP,C1,C0805,1,,,,,
5,CC0805KKX7R8BB105,C2,C0806,1,,,,,
6,GRM21BR61E226ME44L,C5,C0807,1,,,,,
7,NCD0805Y1,LED1,LED0805-R-RD,1,,,,,
8,CONN-TH_XH2.54-2P,SENSOR,CONN-TH_XH2.54-2P,1,,,,,
9,RS-05K512JT,"R1,R2",R0805,2,,,,,
10,SCR0805J100K,"R4,R5,R6",R0805,3,,,,,
11,0805W8F1001T5E,"R8,R9",R0805,2,,,,,
12,CONN-TH_2P-P5.00_WJ500V-5.08-2P,P1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,1,,,,,
13,HDR-TH_3P-P2.54-V-F,H1,HDR-TH_3P-P2.54-V-F,1,,,,,
14,NCD0805R1,LED3,LED0805-RD_RED,1,,,,,
15,CT41G-0805-2X1-50V-0.1£gF-K(N) C126469,C3,C0805,1,0.1uF/100V,null,,,
16,AO3400A,U4,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,,,,,
17,IP2721,U1,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,IP2721,INJOINIC(­^¶°ªä),LCSC,C603176,0.811
18,TYPE-C 6P,USB-C,TYPE-C-SMD_TYPE-C-6P,1,,,,,
19,CH552G,U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,,,null,,
